"","week_index","dimension","metric"
"1",1,"dimension_a",28
"2",1,"dimension_b",120
"3",2,"dimension_a",27.8789611676373
"4",2,"dimension_b",121.121038832363
"5",3,"dimension_a",41.737585774164
"6",3,"dimension_b",118.262414225836
"7",4,"dimension_a",42.5556076069045
"8",4,"dimension_b",112.444392393095
"9",5,"dimension_a",52.3129009067033
"10",5,"dimension_b",96.6870990932967
"11",6,"dimension_a",38.9895499871518
"12",6,"dimension_b",86.0104500128482
"13",7,"dimension_a",56.5659181271294
"14",7,"dimension_b",76.4340818728706
"15",8,"dimension_a",58.0227154983448
"16",8,"dimension_b",88.9772845016552
"17",9,"dimension_a",70.3410658929029
"18",9,"dimension_b",69.6589341070971
"19",10,"dimension_a",76.5025720200712
"20",10,"dimension_b",67.4974279799288
"21",11,"dimension_a",76.4893791463713
"22",11,"dimension_b",66.5106208536287
"23",12,"dimension_a",74.284236858851
"24",12,"dimension_b",51.715763141149
"25",13,"dimension_a",88.8705587378852
"26",13,"dimension_b",48.1294412621148
"27",14,"dimension_a",79.2324797330839
"28",14,"dimension_b",44.7675202669161
"29",15,"dimension_a",88.3549110438325
"30",15,"dimension_b",55.6450889561675
"31",16,"dimension_a",103.223592314622
"32",16,"dimension_b",47.776407685378
"33",17,"dimension_a",92.8251409646122
"34",17,"dimension_b",41.1748590353878
"35",18,"dimension_a",109.14709848079
"36",18,"dimension_b",42.8529015192103
"37",19,"dimension_a",97.1779735145796
"38",19,"dimension_b",30.8220264854204
"39",20,"dimension_a",114.907281632834
"40",20,"dimension_b",36.0927183671662
"41",21,"dimension_a",113.325581585686
"42",21,"dimension_b",36.6744184143139
"43",22,"dimension_a",114.424507965818
"44",22,"dimension_b",15.5754920341816
"45",23,"dimension_a",112.196800146161
"46",23,"dimension_b",31.8031998538391
"47",24,"dimension_a",121.636327395926
"48",24,"dimension_b",32.3636726040744
"49",25,"dimension_a",123.738110088092
"50",25,"dimension_b",12.2618899119083
"51",26,"dimension_a",117.498336924981
"52",26,"dimension_b",12.5016630750194
"53",27,"dimension_a",124.914378122335
"54",27,"dimension_b",21.0856218776645
"55",28,"dimension_a",120.984794506296
"56",28,"dimension_b",19.0152054937035
"57",29,"dimension_a",115.709342491806
"58",29,"dimension_b",13.2906575081941
"59",30,"dimension_a",113.08897492522
"60",30,"dimension_b",16.9110250747802
"61",31,"dimension_a",125.125837788212
"62",31,"dimension_b",18.8741622117877
"63",32,"dimension_a",122.823262774375
"64",32,"dimension_b",20.1767372256255
"65",33,"dimension_a",115.185755764187
"66",33,"dimension_b",32.8142442358132
"67",34,"dimension_a",106.218981238232
"68",34,"dimension_b",36.7810187617679
"69",35,"dimension_a",100.929742682568
"70",35,"dimension_b",34.0702573174318
"71",36,"dimension_a",117.325959054041
"72",36,"dimension_b",27.6740409459594
"73",37,"dimension_a",115.416637386949
"74",37,"dimension_b",33.5833626130514
"75",38,"dimension_a",92.211841635822
"76",38,"dimension_b",37.788158364178
"77",39,"dimension_a",99.7226578620891
"78",39,"dimension_b",46.2773421379109
"79",40,"dimension_a",99.9611558850629
"80",40,"dimension_b",52.0388441149371
"81",41,"dimension_a",81.9403475299011
"82",41,"dimension_b",44.0596524700989
"83",42,"dimension_a",79.6741416169716
"84",42,"dimension_b",55.3258583830284
"85",43,"dimension_a",89.1772958483213
"86",43,"dimension_b",48.8227041516787
"87",44,"dimension_a",77.4653657576869
"88",44,"dimension_b",52.5346342423131
"89",45,"dimension_a",77.5546509006369
"90",45,"dimension_b",69.4453490993631
"91",46,"dimension_a",75.4621384709867
"92",46,"dimension_b",76.5378615290133
"93",47,"dimension_a",68.2054445385278
"94",47,"dimension_b",69.7945554614722
"95",48,"dimension_a",56.8027531113444
"96",48,"dimension_b",88.1972468886556
"97",49,"dimension_a",52.2727532335102
"98",49,"dimension_b",92.7272467664898
"99",50,"dimension_a",51.6345743357615
"100",50,"dimension_b",91.3654256642385
"101",51,"dimension_a",48.9077200627792
"102",51,"dimension_b",91.0922799372208
"103",52,"dimension_a",44.1120008059867
"104",52,"dimension_b",102.887999194013
